연번,기업명,영향범주,인증번호,제품군,인증제품명,자원발자국-총량,자원발자국-단위,자원발자국-제조전,자원발자국-제조,자원발자국-사용,자원발자국-폐기,탄소발자국-총량,탄소발자국-단위,탄소발자국-제조전,탄소발자국-제조,탄소발자국-사용,탄소발자국-폐기,오존층영향-총량,오존층영향-단위,오존층영향-제조전,오존층영향-제조,오존층영향-사용,오존층영향-폐기,산성비-총량,산성비-단위,산성비-제조전,산성비-제조,산성비-사용,산성비-폐기,부영양화-총량,부영양화-단위,부영양화-제조전,부영양화-제조,부영양화-사용,부영양화-폐기,광화학 스모그-총량,광화학 스모그-단위,광화학 스모그-제조전,광화학 스모그-제조,광화학 스모그-사용,광화학 스모그-폐기,물발자국-총량,물발자국-단위,물발자국-제조전,물발자국-제조,물발자국-사용,물발자국-폐기,시작,종료
377,풀무원샘물(주),저탄소제품,A-2013-Ⅱ-002,비내구재,풀무원샘물 [2L],0.006,kgSbe/개,0.00552,0.000432,,0.0000496,0.204,kgCO2e/개,0.122,0.0645,,0.0177,0.0000584,kgCFC-11e/개,0.00000248,0.0000559,,,0.00105,kgSO2e/개,0.000952,0.0000584,,0.0000346,0.000195,kgPO43-e/개,0.000141,0.0000198,,0.0000336,0.00178,kgC2H4e/개,0.00169,0.0000808,,0.00000498,0.00801,m3H2Oe/개,0.00738,0.000627,,0.00000707,2022-02-01,2025-01-31
378,(주)제이제이통상,환경성적,2022-110,생산재,접착심지 (JJZW50_BLACK) [1㎡],0.00246,kgSbe/m2,0.0022,0.000259,,,0.321,kgCO2e/m2,0.278,0.0423,,,0.00000234,kgCFC-11e/m2,0.00000234,,,,0.00102,kgSO2e/m2,0.000951,0.00007,,,0.00361,kgPO43-e/m2,0.00359,0.0000132,,,0.000477,kgC2H4e/m2,0.000476,0.000000524,,,0.00185,m3H2Oe/m2,0.00128,0.000574,,,2022-02-28,2025-02-27
379,(주)제이제이통상,환경성적,2022-111,생산재,접착심지 (JJZW50_OFF WHITE) [1㎡],0.00247,kgSbe/m2,0.0022,0.000268,,,0.319,kgCO2e/m2,0.275,0.0436,,,0.0000024,kgCFC-11e/m2,0.0000024,,,,0.00102,kgSO2e/m2,0.000951,0.0000723,,,0.00364,kgPO43-e/m2,0.00362,0.0000136,,,0.000477,kgC2H4e/m2,0.000477,0.000000534,,,0.00191,m3H2Oe/m2,0.00128,0.000631,,,2022-02-28,2025-02-27
380,주식회사 반도유니콘,저탄소제품,2022-112,생산재,"레디믹스트 콘크리트[25-21-120,수도권]",0.496,kgSbe/m3,0.487,0.00876,,,168,kgCO2e/m3,167,1.37,,,0.0473,kgCFC-11e/m3,0.0473,,,,0.241,kgSO2e/m3,0.237,0.00357,,,0.0501,kgPO43-e/m3,0.0495,0.000545,,,0.0444,kgC2H4e/m3,0.044,0.000474,,,0.313,m3H2Oe/m3,0.297,0.0165,,,2022-02-28,2025-02-27
381,주식회사 반도유니콘,저탄소제품,2022-113,생산재,"레디믹스트 콘크리트[25-24-120,수도권]",0.598,kgSbe/m3,0.589,0.00909,,,209,kgCO2e/m3,208,1.43,,,0.0242,kgCFC-11e/m3,0.0242,0.000000062,,,0.295,kgSO2e/m3,0.291,0.0037,,,0.0549,kgPO43-e/m3,0.0543,0.000561,,,0.0466,kgC2H4e/m3,0.0461,0.000465,,,0.361,m3H2Oe/m3,0.344,0.0167,,,2022-02-28,2025-02-27
382,주식회사 반도유니콘,저탄소제품,2022-114,생산재,"레디믹스트 콘크리트[25-40-150,수도권]",0.924,kgSbe/m3,0.915,0.00955,,,330,kgCO2e/m3,329,1.49,,,0.00861,kgCFC-11e/m3,0.00861,,,,0.406,kgSO2e/m3,0.402,0.00382,,,0.0698,kgPO43-e/m3,0.0692,0.000595,,,0.0606,kgC2H4e/m3,0.0601,0.000536,,,0.461,m3H2Oe/m3,0.443,0.0181,,,2022-02-28,2025-02-27
383,세기산업(주),저탄소제품,2022-115,생산재,"레디믹스트 콘크리트 [25-24-150, 제주도]",0.904,kgSbe/m3,0.894,0.00997,,,328,kgCO2e/m3,327,1.57,,,0.00861,kgCFC-11e/m3,0.00861,,,,0.375,kgSO2e/m3,0.372,0.00301,,,0.0568,kgPO43-e/m3,0.0563,0.000511,,,0.0489,kgC2H4e/m3,0.0489,0.0000355,,,0.597,m3H2Oe/m3,0.505,0.0918,,,2022-02-28,2025-02-27
384,세기산업(주),저탄소제품,2022-116,생산재,"레디믹스트 콘크리트 [25-18-120, 제주도]",0.729,kgSbe/m3,0.719,0.00987,,,261,kgCO2e/m3,260,1.56,,,0.00796,kgCFC-11e/m3,0.00796,,,,0.318,kgSO2e/m3,0.315,0.00298,,,0.0483,kgPO43-e/m3,0.0477,0.000506,,,0.042,kgC2H4e/m3,0.0419,0.0000354,,,0.528,m3H2Oe/m3,0.442,0.0854,,,2022-02-28,2025-02-27
385,세기산업(주),저탄소제품,2022-117,생산재,"레디믹스트 콘크리트 [25-21-120, 제주도]",0.838,kgSbe/m3,0.828,0.0102,,,299,kgCO2e/m3,298,1.61,,,0.00964,kgCFC-11e/m3,0.00964,,,,0.394,kgSO2e/m3,0.391,0.00307,,,0.059,kgPO43-e/m3,0.0585,0.000522,,,0.0515,kgC2H4e/m3,0.0515,0.0000358,,,0.557,m3H2Oe/m3,0.469,0.0878,,,2022-02-28,2025-02-27
386,세기산업(주),저탄소제품,2022-118,생산재,"레디믹스트 콘크리트 [25-21-150, 제주도]",0.835,kgSbe/m3,0.825,0.0102,,,302,kgCO2e/m3,300,1.61,,,0.00834,kgCFC-11e/m3,0.00834,,,,0.352,kgSO2e/m3,0.349,0.00306,,,0.0534,kgPO43-e/m3,0.0529,0.000521,,,0.0461,kgC2H4e/m3,0.0461,0.0000358,,,0.566,m3H2Oe/m3,0.478,0.0882,,,2022-02-28,2025-02-27
387,세기산업(주),저탄소제품,2022-119,생산재,"레디믹스트 콘크리트 [25-24-120, 제주도]",0.892,kgSbe/m3,0.882,0.00978,,,324,kgCO2e/m3,322,1.54,,,0.00858,kgCFC-11e/m3,0.00858,,,,0.371,kgSO2e/m3,0.368,0.00296,,,0.0563,kgPO43-e/m3,0.0558,0.000502,,,0.0484,kgC2H4e/m3,0.0484,0.0000353,,,0.587,m3H2Oe/m3,0.498,0.0889,,,2022-02-28,2025-02-27
388,세기산업(주),저탄소제품,2022-120,생산재,"레디믹스트 콘크리트 [25-27-150, 제주도]",0.983,kgSbe/m3,0.973,0.0102,,,358,kgCO2e/m3,357,1.62,,,0.00893,kgCFC-11e/m3,0.00893,,,,0.401,kgSO2e/m3,0.398,0.00308,,,0.0608,kgPO43-e/m3,0.0602,0.000525,,,0.0521,kgC2H4e/m3,0.052,0.0000358,,,0.629,m3H2Oe/m3,0.534,0.0951,,,2022-02-28,2025-02-27
389,주식회사 동천,환경성적,2022-121,생산재,동천경질폴리우레탄폼단열재 1종 3호[1m3],1.18,kgSbe/m3,1.16,0.0196,,,127,kgCO2e/m3,124,3.07,,,0.00356,kgCFC-11e/m3,0.00356,,,,0.617,kgSO2e/m3,0.611,0.00545,,,0.297,kgPO43-e/m3,0.294,0.00246,,,0.323,kgC2H4e/m3,0.323,0.0000931,,,0.423,m3H2Oe/m3,0.386,0.0376,,,2022-02-28,2025-02-27
390,(주)삼성,저탄소제품,2022-122,생산재,"레디믹스트 콘크리트[25-24-150,수도권]",0.7,kgSbe/m3,0.675,0.0251,,,241,kgCO2e/m3,237,3.94,,,0.0137,kgCFC-11e/m3,0.0137,,,,0.329,kgSO2e/m3,0.321,0.00891,,,0.0586,kgPO43-e/m3,0.0572,0.00134,,,0.0592,kgC2H4e/m3,0.0591,0.000185,,,0.517,m3H2Oe/m3,0.384,0.133,,,2022-02-28,2025-02-27
391,(주)삼성,저탄소제품,2022-123,생산재,"레디믹스트 콘크리트[25-21-150,수도권]",0.636,kgSbe/m3,0.607,0.0291,,,211,kgCO2e/m3,206,4.58,,,0.013,kgCFC-11e/m3,0.013,,,,0.321,kgSO2e/m3,0.311,0.00998,,,0.0574,kgPO43-e/m3,0.0558,0.00154,,,0.0613,kgC2H4e/m3,0.0611,0.00019,,,0.491,m3H2Oe/m3,0.349,0.142,,,2022-02-28,2025-02-27
392,(주)삼성,저탄소제품,2022-124,생산재,"레디믹스트 콘크리트[25-27-150,수도권]",0.745,kgSbe/m3,0.719,0.0264,,,256,kgCO2e/m3,252,4.16,,,0.0153,kgCFC-11e/m3,0.0153,,,,0.341,kgSO2e/m3,0.331,0.00927,,,0.0606,kgPO43-e/m3,0.0591,0.00141,,,0.0631,kgC2H4e/m3,0.0629,0.000187,,,0.539,m3H2Oe/m3,0.403,0.136,,,2022-02-28,2025-02-27
393,(주)삼성,저탄소제품,2022-125,생산재,"레디믹스트 콘크리트[25-30-150,수도권]",0.804,kgSbe/m3,0.782,0.0216,,,275,kgCO2e/m3,272,3.4,,,0.0159,kgCFC-11e/m3,0.0159,,,,0.364,kgSO2e/m3,0.356,0.00798,,,0.0645,kgPO43-e/m3,0.0633,0.00117,,,0.0697,kgC2H4e/m3,0.0695,0.000181,,,0.542,m3H2Oe/m3,0.416,0.126,,,2022-02-28,2025-02-27
394,(주)삼성,저탄소제품,2022-126,생산재,"레디믹스트 콘크리트[25-35-150,수도권]",0.768,kgSbe/m3,0.743,0.0246,,,257,kgCO2e/m3,253,3.86,,,0.0155,kgCFC-11e/m3,0.0155,,,,0.356,kgSO2e/m3,0.348,0.00877,,,0.0633,kgPO43-e/m3,0.062,0.00132,,,0.0715,kgC2H4e/m3,0.0713,0.000185,,,0.527,m3H2Oe/m3,0.395,0.131,,,2022-02-28,2025-02-27
395,한국타올기산업(주),환경성적,2019-017,에너지사용,전기 손 건조기(HTM-338),5.05,kgSbe/대,0.293,0.00562,5,0.0244,799,kgCO2e/대,41.3,0.889,747,9.76,0.000267,kgCFC-11e/대,0.00000307,0.000263,,0.000000307,1.57,kgSO2e/대,0.292,0.00127,1.26,0.0145,0.357,kgPO43-e/대,0.116,0.000276,0.235,0.00565,0.0516,kgC2H4e/대,0.0437,0.000348,0.00532,0.00218,15.5,m3H2Oe/대,6.16,0.0099,9.32,0.00356,2022-02-22,2025-02-21
396,한국타올기산업(주),환경성적,2019-018,에너지사용,전기 손 건조기(HTM-337),3.96,kgSbe/대,0.274,0.00572,4,0.024,627,kgCO2e/대,38.3,0.905,578,9.71,0.000296,kgCFC-11e/대,0.00000296,0.000292,0.000000016,0.000000303,1.24,kgSO2e/대,0.249,0.00124,0.977,0.0143,0.286,kgPO43-e/대,0.0988,0.000278,0.182,0.00554,0.0468,kgC2H4e/대,0.0402,0.000382,0.00412,0.00215,11.9,m3H2Oe/대,4.65,0.00998,7.2,0.00339,2022-02-22,2025-02-21
397,(주)재건테크,저탄소제품,2022-127,생산재,"JGC500(스틸콘 OA)[500X500X28T, R형]",0.0282,kgSbe/개,0.0165,0.0117,,,13.6,kgCO2e/개,11.8,1.83,,,0.000955,kgCFC-11e/개,0.000148,0.000807,,,0.0206,kgSO2e/개,0.0135,0.0071,,,0.0041,kgPO43-e/개,0.00258,0.00152,,,0.0053,kgC2H4e/개,0.00368,0.00162,,,0.0738,m3H2Oe/개,0.0683,0.00547,,,2022-03-03,2024-10-04
398,(주)재건테크,저탄소제품,2022-128,생산재,"JGC600(스틸콘 ACC)[600X600X32T, R형]",0.0351,kgSbe/개,0.023,0.0121,,,17.6,kgCO2e/개,15.7,1.91,,,0.00135,kgCFC-11e/개,0.000215,0.00113,,,0.0247,kgSO2e/개,0.0179,0.00679,,,0.00492,kgPO43-e/개,0.00342,0.0015,,,0.00688,kgC2H4e/개,0.00479,0.00209,,,0.0936,m3H2Oe/개,0.0876,0.006,,,2022-03-03,2024-10-04
399,(주)재건테크,저탄소제품,2022-129,생산재,"JGM600(무기질 황산칼슘 ACC)[600X600X25T, SP형]",0.0319,kgSbe/개,0.0134,0.0185,,,9.77,kgCO2e/개,6.73,3.04,,,0.00358,kgCFC-11e/개,0.00218,0.0014,,,0.0167,kgSO2e/개,0.00711,0.00962,,,0.00417,kgPO43-e/개,0.00222,0.00195,,,0.00802,kgC2H4e/개,0.00487,0.00315,,,0.0516,m3H2Oe/개,0.0449,0.00674,,,2022-03-03,2024-10-04
400,(주)재건테크,저탄소제품,2022-130,생산재,"JGM500E(무기질 황산칼슘 GI OA)[500X500X20T, SP형]",0.0234,kgSbe/개,0.00731,0.0161,,,5.89,kgCO2e/개,3.25,2.65,,,0.00204,kgCFC-11e/개,0.00128,0.000758,,,0.0125,kgSO2e/개,0.00348,0.00901,,,0.00285,kgPO43-e/개,0.0011,0.00174,,,0.00482,kgC2H4e/개,0.00266,0.00216,,,0.0271,m3H2Oe/개,0.0219,0.0052,,,2022-03-03,2024-10-04
401,(주)재건테크,저탄소제품,2022-131,생산재,"JGM600H(무기질 황산칼슘 GI ACC)[600X600X25T, SP형]",0.0309,kgSbe/개,0.013,0.0179,,,8.47,kgCO2e/개,5.53,2.94,,,0.00337,kgCFC-11e/개,0.00207,0.0013,,,0.0153,kgSO2e/개,0.00595,0.00935,,,0.00374,kgPO43-e/개,0.00186,0.00189,,,0.00724,kgC2H4e/개,0.00426,0.00298,,,0.0411,m3H2Oe/개,0.0346,0.00652,,,2022-03-03,2024-10-04
402,제주특별자치도개발공사,저탄소제품,2021-525,비내구재,제주삼다수 그린 [330mL],0.00266,kgSbe/개,0.00254,0.000101,,0.0000143,0.0864,kgCO2e/개,0.063,0.016,,0.00744,0.0000228,kgCFC-11e/개,0.000000124,0.0000227,,,0.000452,kgSO2e/개,0.00043,0.0000136,,0.00000817,0.000111,kgPO43-e/개,0.0000905,0.00000545,,0.0000149,0.000782,kgC2H4e/개,0.00075,0.0000306,,0.00000157,0.00114,m3H2Oe/개,0.001,0.000129,,0.00000274,2022-03-16,2024-12-16
403,한국서부발전(주),환경성적,2022-133,생산재,평택발전본부 생산전력,0.00244,kgSbe/kWh,0.00000316,0.00243,,,0.436,kgCO2e/kWh,0.00224,0.433,,,,kgCFC-11e/kWh,,,,,0.00118,kgSO2e/kWh,0.00000133,0.00117,,,0.000171,kgPO43-e/kWh,0.000000216,0.00017,,,0.000282,kgC2H4e/kWh,0.00000029,0.000281,,,0.000351,m3H2Oe/kWh,0.00000302,0.000348,,,2022-03-28,2025-03-27
404,주식회사 현대엘앤씨,저탄소제품,2022-134,생산재,글로시아(PET데코시트)[0.2T],0.0296,kgSbe/m2,0.0282,0.00139,,,1.11,kgCO2e/m2,0.895,0.218,,,0.0000395,kgCFC-11e/m2,0.0000395,,,,0.00861,kgSO2e/m2,0.00823,0.000384,,,0.00133,kgPO43-e/m2,0.00116,0.000174,,,0.00822,kgC2H4e/m2,0.00821,0.00000725,,,0.0164,m3H2Oe/m2,0.0137,0.00274,,,2022-03-28,2025-03-27
405,주식회사 현대엘앤씨,저탄소제품,2019-043,생산재,디럭스타일[3T],0.0261,kgSbe/m2,0.0195,0.00666,,,2.63,kgCO2e/m2,1.52,1.11,,,0.00031,kgCFC-11e/m2,0.00031,,,,0.00677,kgSO2e/m2,0.00434,0.00244,,,0.00104,kgPO43-e/m2,0.000637,0.000404,,,0.00317,kgC2H4e/m2,0.00282,0.000357,,,0.157,m3H2Oe/m2,0.143,0.0139,,,2022-03-28,2025-03-27
406,"피피아이파이프 주식회사(PPI PIPE CO., LTD.)",저탄소제품,2019-021,생산재,원터치2040방음관,0.00651,kgSbe/kg,0.00459,0.00192,,,0.649,kgCO2e/kg,0.346,0.304,,,0.00000753,kgCFC-11e/kg,0.00000753,,,,0.00133,kgSO2e/kg,0.000807,0.000519,,,0.000309,kgPO43-e/kg,0.00017,0.000139,,,0.000528,kgC2H4e/kg,0.000524,0.00000396,,,0.00511,m3H2Oe/kg,0.00131,0.00379,,,2022-02-22,2025-02-21
407,"피피아이파이프 주식회사(PPI PIPE CO., LTD.)",환경성적,2022-137,생산재,iPVC상수도관,0.0247,kgSbe/kg,0.0227,0.00199,,,2.03,kgCO2e/kg,1.72,0.314,,,0.000119,kgCFC-11e/kg,0.000119,,,,0.00459,kgSO2e/kg,0.00405,0.000547,,,0.00099,kgPO43-e/kg,0.000755,0.000234,,,0.00272,kgC2H4e/kg,0.00271,0.00000782,,,0.0101,m3H2Oe/kg,0.00617,0.0039,,,2022-03-28,2025-03-27
408,"피피아이파이프 주식회사(PPI PIPE CO., LTD.)",환경성적,2022-138,생산재,iC-PVC복합관,0.0261,kgSbe/kg,0.0241,0.00198,,,2.17,kgCO2e/kg,1.86,0.312,,,0.000149,kgCFC-11e/kg,0.000149,,,,0.00511,kgSO2e/kg,0.00456,0.000545,,,0.0013,kgPO43-e/kg,0.00104,0.000255,,,0.00285,kgC2H4e/kg,0.00284,0.00000869,,,0.0156,m3H2Oe/kg,0.0118,0.00386,,,2022-03-28,2025-03-27
409,"피피아이파이프 주식회사(PPI PIPE CO., LTD.)",환경성적,2022-139,생산재,원터치DH이음관,0.0213,kgSbe/kg,0.0184,0.00287,,,1.85,kgCO2e/kg,1.4,0.453,,,0.0000342,kgCFC-11e/kg,0.0000342,,,,0.00425,kgSO2e/kg,0.00348,0.000772,,,0.000803,kgPO43-e/kg,0.000602,0.000201,,,0.00215,kgC2H4e/kg,0.00215,0.00000563,,,0.0852,m3H2Oe/kg,0.0795,0.00565,,,2022-03-28,2025-03-27
410,한화솔루션(주),환경성적,2022-141,생산재,LLD2558,0.0315,kgSbe/kg,0.0306,0.000907,,,1.52,kgCO2e/kg,1.37,0.144,,,0.000000654,kgCFC-11e/kg,0.000000653,,,,0.00193,kgSO2e/kg,0.00167,0.000262,,,0.00032,kgPO43-e/kg,0.000271,0.0000487,,,0.00309,kgC2H4e/kg,0.00308,0.00000521,,,0.00548,m3H2Oe/kg,0.00359,0.00189,,,2022-03-28,2025-03-27
411,한화솔루션(주),환경성적,2022-142,생산재,LLD7635,0.0313,kgSbe/kg,0.0306,0.00076,,,1.5,kgCO2e/kg,1.38,0.121,,,0.000000689,kgCFC-11e/kg,0.000000688,,,,0.00195,kgSO2e/kg,0.00173,0.000223,,,0.000315,kgPO43-e/kg,0.000267,0.0000481,,,0.00294,kgC2H4e/kg,0.00293,0.00000532,,,0.00499,m3H2Oe/kg,0.0034,0.00159,,,2022-03-28,2025-03-27
412,한화솔루션(주),환경성적,2022-143,생산재,HD7390,0.0322,kgSbe/kg,0.0304,0.00171,,,1.62,kgCO2e/kg,1.35,0.273,,,0.00000047,kgCFC-11e/kg,0.000000467,,,,0.00205,kgSO2e/kg,0.00152,0.000528,,,0.000363,kgPO43-e/kg,0.000257,0.000106,,,0.00308,kgC2H4e/kg,0.00306,0.0000147,,,0.00662,m3H2Oe/kg,0.00374,0.00288,,,2022-03-28,2025-03-27
413,한화솔루션(주),환경성적,2022-144,생산재,EVA2319,0.0387,kgSbe/kg,0.035,0.00374,,,2.33,kgCO2e/kg,1.73,0.598,,,0.0000175,kgCFC-11e/kg,0.0000175,,,,0.0111,kgSO2e/kg,0.00995,0.00115,,,0.00209,kgPO43-e/kg,0.0018,0.000296,,,0.00336,kgC2H4e/kg,0.00332,0.0000393,,,0.0135,m3H2Oe/kg,0.00635,0.00713,,,2022-03-28,2025-03-27
414,한화솔루션(주),환경성적,2022-145,생산재,8141S,0.0346,kgSbe/kg,0.0335,0.00113,,,1.95,kgCO2e/kg,1.77,0.18,,,0.0000022,kgCFC-11e/kg,0.00000219,,,,0.00265,kgSO2e/kg,0.00234,0.000311,,,0.000502,kgPO43-e/kg,0.000436,0.0000662,,,0.00287,kgC2H4e/kg,0.00287,0.00000276,,,0.027,m3H2Oe/kg,0.0249,0.00217,,,2022-03-28,2025-03-27
415,한화솔루션(주),환경성적,2022-146,생산재,8142EC,0.0343,kgSbe/kg,0.0331,0.00112,,,1.93,kgCO2e/kg,1.76,0.177,,,0.00000219,kgCFC-11e/kg,0.00000219,,,,0.00262,kgSO2e/kg,0.00232,0.000306,,,0.0005,kgPO43-e/kg,0.000432,0.0000674,,,0.00284,kgC2H4e/kg,0.00284,0.00000276,,,0.0269,m3H2Oe/kg,0.0248,0.00214,,,2022-03-28,2025-03-27
416,한화솔루션(주),환경성적,2022-147,생산재,HS100,0.0366,kgSbe/kg,0.0327,0.00387,,,3.18,kgCO2e/kg,2.53,0.652,,,0.00000107,kgCFC-11e/kg,0.00000105,,,,0.0115,kgSO2e/kg,0.00974,0.00176,,,0.0153,kgPO43-e/kg,0.0149,0.000311,,,0.00855,kgC2H4e/kg,0.00834,0.000211,,,0.0125,m3H2Oe/kg,0.00832,0.00418,,,2022-03-28,2025-03-27
417,한화솔루션(주),환경성적,2022-148,생산재,HP100,0.0346,kgSbe/kg,0.0302,0.00442,,,3.13,kgCO2e/kg,2.39,0.743,,,0.00000133,kgCFC-11e/kg,0.0000013,,,,0.0102,kgSO2e/kg,0.00823,0.00196,,,0.0128,kgPO43-e/kg,0.0123,0.000407,,,0.00731,kgC2H4e/kg,0.00708,0.000235,,,0.0147,m3H2Oe/kg,0.00945,0.0052,,,2022-03-28,2025-03-27
418,한화솔루션(주),환경성적,2022-149,생산재,HC100,0.0513,kgSbe/kg,0.0458,0.00553,,,4.45,kgCO2e/kg,3.52,0.928,,,0.00000111,kgCFC-11e/kg,0.00000107,,,,0.0162,kgSO2e/kg,0.0137,0.0025,,,0.0223,kgPO43-e/kg,0.0215,0.000767,,,0.0122,kgC2H4e/kg,0.0119,0.000303,,,0.0155,m3H2Oe/kg,0.00961,0.00594,,,2022-03-28,2025-03-27
419,한화솔루션(주),환경성적,2022-150,생산재,HS130,0.0303,kgSbe/kg,0.0267,0.00358,,,2.67,kgCO2e/kg,2.07,0.601,,,0.000000984,kgCFC-11e/kg,0.000000961,,,,0.00941,kgSO2e/kg,0.00784,0.00157,,,0.0125,kgPO43-e/kg,0.0122,0.000278,,,0.00695,kgC2H4e/kg,0.00677,0.000183,,,0.0116,m3H2Oe/kg,0.00716,0.00443,,,2022-03-28,2025-03-27
420,한화솔루션(주),환경성적,2022-151,생산재,HC120,0.0402,kgSbe/kg,0.0359,0.00433,,,3.46,kgCO2e/kg,2.74,0.727,,,0.000000896,kgCFC-11e/kg,0.000000866,,,,0.0128,kgSO2e/kg,0.0109,0.00192,,,0.0176,kgPO43-e/kg,0.0171,0.000426,,,0.00968,kgC2H4e/kg,0.00945,0.000228,,,0.0127,m3H2Oe/kg,0.00744,0.0053,,,2022-03-28,2025-03-27
421,(주)앤씰,환경성적,2022-152,내구재,앤씰 하이브리드 유로 고탄성 SS,1.04,kgSbe/개,0.749,0.284,,0.01,131,kgCO2e/개,84.7,44.9,,1.63,0.000886,kgCFC-11e/개,0.000393,0.000493,,0.000000124,0.367,kgSO2e/개,0.283,0.0755,,0.0083,0.109,kgPO43-e/개,0.0811,0.0141,,0.0139,0.0772,kgC2H4e/개,0.0751,0.000953,,0.00117,2.51,m3H2Oe/개,1.95,0.558,,0.00187,2022-03-28,2025-03-27
422,(주)앤씰,환경성적,2022-153,내구재,앤씰 하이브리드 유로 고탄성 Q,1.34,kgSbe/개,1.02,0.312,,0.0129,168,kgCO2e/개,116,49.3,,2.1,0.00112,kgCFC-11e/개,0.000534,0.000587,,0.000000162,0.48,kgSO2e/개,0.387,0.0828,,0.0107,0.143,kgPO43-e/개,0.109,0.0155,,0.0186,0.102,kgC2H4e/개,0.0995,0.0011,,0.00153,3.13,m3H2Oe/개,2.51,0.612,,0.00247,2022-03-28,2025-03-27
423,(주)앤씰,환경성적,2022-154,내구재,앤씰 하이브리드 유로 고탄성 K,1.44,kgSbe/개,1.05,0.374,,0.0134,183,kgCO2e/개,122,59.1,,2.19,0.00131,kgCFC-11e/개,0.000552,0.000756,,0.000000169,0.52,kgSO2e/개,0.41,0.0992,,0.0111,0.154,kgPO43-e/개,0.116,0.0186,,0.0197,0.107,kgC2H4e/개,0.104,0.00139,,0.0016,3.79,m3H2Oe/개,3.05,0.734,,0.00259,2022-03-28,2025-03-27
424,대양레미콘(주),환경성적,2022-155,생산재,"레디믹스트 콘크리트[25-24-150,경상도]",0.785,kgSbe/m3,0.77,0.015,,,252,kgCO2e/m3,250,2.34,,,0.108,kgCFC-11e/m3,0.108,0.00000109,,,0.167,kgSO2e/m3,0.16,0.00711,,,0.0439,kgPO43-e/m3,0.043,0.000882,,,0.078,kgC2H4e/m3,0.0777,0.000242,,,0.687,m3H2Oe/m3,0.476,0.212,,,2022-03-28,2025-03-27
425,대양레미콘(주),환경성적,2022-156,생산재,"레디믹스트 콘크리트[25-21-150,경상도]",0.756,kgSbe/m3,0.742,0.0139,,,245,kgCO2e/m3,242,2.16,,,0.0457,kgCFC-11e/m3,0.0457,0.00000661,,,0.224,kgSO2e/m3,0.217,0.0068,,,0.0425,kgPO43-e/m3,0.0417,0.000825,,,0.0782,kgC2H4e/m3,0.0779,0.000238,,,0.651,m3H2Oe/m3,0.469,0.181,,,2022-03-28,2025-03-27
426,대양레미콘(주),환경성적,2022-157,생산재,"레디믹스트 콘크리트[25-27-150,경상도]",0.908,kgSbe/m3,0.893,0.0149,,,302,kgCO2e/m3,300,2.32,,,0.0864,kgCFC-11e/m3,0.0864,0.0000028,,,0.229,kgSO2e/m3,0.222,0.00708,,,0.0499,kgPO43-e/m3,0.049,0.000877,,,0.0807,kgC2H4e/m3,0.0804,0.000242,,,0.733,m3H2Oe/m3,0.525,0.208,,,2022-03-28,2025-03-27
427,대양레미콘(주),환경성적,2022-158,생산재,"레디믹스트 콘크리트[25-30-150,경상도]",0.922,kgSbe/m3,0.908,0.0146,,,307,kgCO2e/m3,305,2.27,,,0.108,kgCFC-11e/m3,0.108,0.00000753,,,0.21,kgSO2e/m3,0.203,0.00699,,,0.0505,kgPO43-e/m3,0.0497,0.000861,,,0.0803,kgC2H4e/m3,0.08,0.000241,,,0.717,m3H2Oe/m3,0.522,0.196,,,2022-03-28,2025-03-27
428,대양레미콘(주),환경성적,2022-159,생산재,"레디믹스트 콘크리트[25-35-150,경상도]",0.918,kgSbe/m3,0.902,0.0154,,,305,kgCO2e/m3,303,2.4,,,0.131,kgCFC-11e/m3,0.131,0.0000292,,,0.184,kgSO2e/m3,0.176,0.00721,,,0.0502,kgPO43-e/m3,0.0493,0.0009,,,0.0781,kgC2H4e/m3,0.0779,0.000242,,,0.726,m3H2Oe/m3,0.518,0.208,,,2022-03-28,2025-03-27
429,(주)케이씨씨,저탄소제품,C-2013-Ⅱ-001,생산재,일반 석고보드 [9.5T],0.00709,kgSbe/m2,0.00183,0.00527,,,0.986,kgCO2e/m2,0.261,0.725,,,0.000213,kgCFC-11e/m2,0.000213,,,,0.00372,kgSO2e/m2,0.00137,0.00235,,,0.000588,kgPO43-e/m2,0.000289,0.000298,,,0.000792,kgC2H4e/m2,0.000521,0.000272,,,0.0115,m3H2Oe/m2,0.00578,0.00575,,,2022-03-27,2025-03-26
430,주식회사 대원씨앤엠,환경성적,2022-162,생산재,"레디믹스트 콘크리트[25-21-120,경상도]",0.544,kgSbe/m3,0.533,0.0104,,,177,kgCO2e/m3,175,1.61,,,0.0211,kgCFC-11e/m3,0.021,0.000000727,,,0.204,kgSO2e/m3,0.199,0.00554,,,0.0332,kgPO43-e/m3,0.0326,0.000638,,,0.0521,kgC2H4e/m3,0.0519,0.000211,,,0.573,m3H2Oe/m3,0.384,0.189,,,2022-03-28,2025-03-27
431,주식회사 대원씨앤엠,환경성적,2022-164,생산재,"레디믹스트 콘크리트[25-24-120,경상도]",0.586,kgSbe/m3,0.576,0.0104,,,192,kgCO2e/m3,191,1.61,,,0.0208,kgCFC-11e/m3,0.0208,0.000000727,,,0.218,kgSO2e/m3,0.213,0.00554,,,0.0355,kgPO43-e/m3,0.0348,0.000637,,,0.0537,kgC2H4e/m3,0.0535,0.000211,,,0.58,m3H2Oe/m3,0.402,0.178,,,2022-03-28,2025-03-27
